FDC ID,Name,Brand,Amount,Energy,Protein,Carbohydrate,Fiber,Sugars,Total lipid,Cholesterol,Vitamin A,Vitamin C,Sodium,Iron,Magnesium,Calcium,Potassium
2098756,ALL-PURPOSE FLOUR,HANNAFORD,185 g,68 kcal,2 g,16 g,1 g,1 g,0 g,0 mg,0 iu,0 mg,0 mg,1 mg,,68 mg,
1816654,BAKING SODA,SHURFINE,2 g,0 kcal,0 g,0 g,,,0 g,,,,118 mg,,,,
1920273,BUTTER,EARTHBOUND FARM,115 g,10 kcal,1 g,2 g,1 g,1 g,0 g,0 mg,2859 iu,3 mg,0 mg,1 mg,,19 mg,
2021609,SUGAR,WEIS,100 g,21 kcal,0 g,6 g,,6 g,0 g,,,,0 mg,,,,
1860371,LIGHT BROWN SUGAR,DOMINO,80 g,33 kcal,0 g,9 g,,9 g,0 g,,,,0 mg,,,,
1816453,SALT,SHURFINE,2 g,0 kcal,0 g,0 g,,,0 g,,,,107 mg,,,,
747997,"EGGS, GRADE A, LARGE, EGG WHITE",,1 units,110 kcal,11 g,2 g,,,0 g,,,,,,,,
1793241,PURE VANILLA EXTRACT,CITLALI,5 g,4 kcal,0 g,1 g,,1 g,0 g,,,,0 mg,,,,
2210640,"BITTERSWEET CHOCOLATE, BITTERSWEET",ELITE,225 g,477 kcal,14 g,116 g,14 g,116 g,61 g,0 mg,,,0 mg,20 mg,,0 mg,1091 mg
,,,,723 kcal,27 g,151 g,15 g,133 g,61 g,0 mg,2859 iu,3 mg,224 mg,23 mg,,87 mg,1091 mg
